"INCOME_Code","INCOME_Text"
9,"$90,000 - $114,999"
4,"$30,000 - $39,999"
5,"$40,000 - $49,999"
10,"$115,000 +"
2,"$12,000 - $14,999"
6,"$50,000 - $59,999"
7,"$60,000 - $74,999"
7,"$60,000 - $74,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
3,"$15,000 - $29,999"
1,"Below $12,000"
1,"Below $12,000"
10,"$115,000 +"
4,"$30,000 - $39,999"
1,"Below $12,000"
10,"$115,000 +"
1,"Below $12,000"
6,"$50,000 - $59,999"
1,"Below $12,000"
4,"$30,000 - $39,999"
2,"$12,000 - $14,999"
3,"$15,000 - $29,999"
5,"$40,000 - $49,999"
2,"$12,000 - $14,999"
10,"$115,000 +"
2,"$12,000 - $14,999"
4,"$30,000 - $39,999"
1,"Below $12,000"
7,"$60,000 - $74,999"
